time,value,correction,quality
1995-02-21T11:00:00Z,370.8,0,3
1995-02-22T11:00:00Z,370.68,0,3
1995-02-23T11:00:00Z,370.57,0,3
1995-02-24T11:00:00Z,370.47,0,3
1995-02-25T11:00:00Z,370.36,0,3
1995-02-26T11:00:00Z,370.25,0,3
1995-02-27T11:00:00Z,370.14,0,3
1995-02-28T11:00:00Z,370.07,0,3
1995-03-01T11:00:00Z,370.0,0,3
1995-03-02T11:00:00Z,369.91,0,3
1995-03-03T11:00:00Z,369.79,0,3
1995-03-04T11:00:00Z,369.68,0,3
1995-03-05T11:00:00Z,369.61,0,3
1995-03-06T11:00:00Z,369.53,0,3
1995-03-07T11:00:00Z,369.45,0,3
1995-03-08T11:00:00Z,369.38,0,3
1995-03-09T11:00:00Z,369.26,0,3
1995-03-10T11:00:00Z,369.15,0,3
1995-03-11T11:00:00Z,369.08,0,3
1995-03-12T11:00:00Z,368.96,0,3
1995-03-13T11:00:00Z,368.86,0,3
1995-03-14T11:00:00Z,368.76,0,3
1995-03-15T11:00:00Z,368.62,0,3
1995-03-16T11:00:00Z,368.49,0,3
1995-03-17T11:00:00Z,368.37,0,3
1995-03-18T11:00:00Z,368.27,0,3
1995-03-19T11:00:00Z,368.1,0,3
1995-03-20T11:00:00Z,367.92,0,3
1995-03-21T11:00:00Z,367.77,0,3
1995-03-22T11:00:00Z,367.45,0,3
1995-03-23T11:00:00Z,367.32,0,3
1995-03-24T11:00:00Z,367.18,0,3
1995-03-25T11:00:00Z,367.07,0,3
1995-03-26T11:00:00Z,366.95,0,3
1995-03-27T11:00:00Z,366.82,0,3
1995-03-28T11:00:00Z,366.75,0,3
1995-03-29T11:00:00Z,366.62,0,3
1995-03-30T11:00:00Z,366.5,0,3
1995-03-31T11:00:00Z,366.35,0,3
1995-04-01T11:00:00Z,366.27,0,3
1995-04-02T11:00:00Z,365.96,0,3
1995-04-03T11:00:00Z,365.69,0,3
1995-04-04T11:00:00Z,365.48,0,3
1995-04-05T11:00:00Z,365.25,0,3
1995-04-06T11:00:00Z,365.13,0,3
1995-04-07T11:00:00Z,364.99,0,3
1995-04-08T11:00:00Z,364.92,0,3
1995-04-09T11:00:00Z,364.92,0,3
1995-04-10T11:00:00Z,364.83,0,3
1995-04-11T11:00:00Z,364.79,0,3
1995-04-12T11:00:00Z,364.76,0,3
