index,Latitude,Longitude,Time,Rain,Sea_Level_Pressure,Temperature,Time_Index
511364,23.80920029,70.0,1999-01-10,0.0,101742.0,298.55,9
433565,25.0,69.375,1999-01-10,0.0,101742.0,299.72,9
18637,30.0,70.0,1999-01-10,0.0,101837.0,296.12,9
199958,27.5,77.5,1999-01-10,0.0,101812.0,294.8,9
381699,27.5,69.375,1999-01-10,0.0,101812.0,296.82,9
277667,25.0,75.0,1999-01-10,0.0,101892.0,294.8,9
70443,30.0,75.0,1999-01-10,0.0,101892.0,296.37,9
485431,23.80920029,69.375,1999-01-10,0.0,101892.0,299.49,9
225861,25.0,70.0,1999-01-10,0.0,101732.0,299.49,9
407632,27.5,78.75,1999-01-10,0.0,101732.0,295.37,9
355766,30.0,78.75,1999-01-10,0.0,101732.0,285.34998,9
537297,23.80920029,72.5,1999-01-10,0.0,101732.0,297.16998,9
148152,27.5,72.5,1999-01-10,0.0,101845.0,295.99,9
511365,23.80920029,70.0,1999-01-11,0.0,101845.0,298.49,10
589164,23.80920029,77.5,1999-01-11,0.0,101845.0,293.99,10
407633,27.5,78.75,1999-01-11,0.0,101845.0,295.3,10
329834,30.0,69.375,1999-01-11,0.0,101845.0,294.2,10
225862,25.0,70.0,1999-01-11,0.0,101597.0,299.47,10
44541,30.0,72.5,1999-01-11,0.0,101600.0,297.27002,10
277668,25.0,75.0,1999-01-11,0.0,101775.0,294.72,10
122250,27.5,70.0,1999-01-11,0.0,101560.0,297.45,10
433566,25.0,69.375,1999-01-11,0.0,101560.0,299.7,10
148153,27.5,72.5,1999-01-11,0.0,101567.0,295.91998,10
537298,23.80920029,72.5,1999-01-11,0.0,101567.0,297.09998,10
303571,25.0,77.5,1999-01-11,0.0,101680.0,293.7,10
381700,27.5,69.375,1999-01-11,0.0,101680.0,296.8,10
563231,23.80920029,75.0,1999-01-11,0.0,101680.0,295.49,10
199959,27.5,77.5,1999-01-11,0.0,101782.0,294.72,10
174056,27.5,75.0,1999-01-11,0.0,101600.0,294.57,10
459499,25.0,78.75,1999-01-11,0.0,101600.0,294.4,10
485432,23.80920029,69.375,1999-01-11,0.0,101600.0,299.49,10
615097,23.80920029,78.75,1999-01-11,0.0,101600.0,292.99,10
96347,30.0,77.5,1999-01-11,1.2841205596923828,101875.0,292.7,10
18638,30.0,70.0,1999-01-11,0.0,101410.0,296.09998,10
355767,30.0,78.75,1999-01-11,0.0,101410.0,285.2,10
251765,25.0,72.5,1999-01-11,0.0,101722.0,297.55,10
70444,30.0,75.0,1999-01-11,0.0,101805.0,296.3,10
537299,23.80920029,72.5,1999-01-12,0.0,101805.0,297.07,11
303572,25.0,77.5,1999-01-12,0.0,101435.0,293.7,11
459500,25.0,78.75,1999-01-12,0.0,101435.0,294.4,11
433567,25.0,69.375,1999-01-12,0.0,101435.0,299.59998,11
589165,23.80920029,77.5,1999-01-12,0.0,101435.0,293.9,11
277669,25.0,75.0,1999-01-12,0.0,101572.0,294.7,11
174057,27.5,75.0,1999-01-12,0.0,101425.0,294.49,11
485433,23.80920029,69.375,1999-01-12,0.0,101425.0,299.4,11
18639,30.0,70.0,1999-01-12,0.0,101707.0,295.99,11
615098,23.80920029,78.75,1999-01-12,0.0,101707.0,292.99,11
407634,27.5,78.75,1999-01-12,0.0,101707.0,295.3,11
563232,23.80920029,75.0,1999-01-12,0.0,101707.0,295.49,11
96348,30.0,77.5,1999-01-12,0.0,101847.0,292.59998,11
199960,27.5,77.5,1999-01-12,0.0,101595.0,294.7,11
225863,25.0,70.0,1999-01-12,0.0,101555.0,299.4,11
381701,27.5,69.375,1999-01-12,0.0,101555.0,296.72,11
122251,27.5,70.0,1999-01-12,0.0,101670.0,297.4,11
70445,30.0,75.0,1999-01-12,0.0,101830.0,296.24,11
329835,30.0,69.375,1999-01-12,0.0,101830.0,294.12,11
251766,25.0,72.5,1999-01-12,0.0,101600.0,297.49,11
355768,30.0,78.75,1999-01-12,0.0,101600.0,285.14,11
44542,30.0,72.5,1999-01-12,0.0,101720.0,297.2,11
511366,23.80920029,70.0,1999-01-12,0.0,101720.0,298.45,11
148154,27.5,72.5,1999-01-12,0.0,101527.0,295.9,11
148155,27.5,72.5,1999-01-13,0.0,101947.0,295.8,12
407635,27.5,78.75,1999-01-13,0.0,101947.0,295.2,12
355769,30.0,78.75,1999-01-13,0.0,101947.0,285.05,12
615099,23.80920029,78.75,1999-01-13,0.0,101947.0,292.9,12
70446,30.0,75.0,1999-01-13,0.0,102075.0,296.2,12
459501,25.0,78.75,1999-01-13,0.0,102075.0,294.34998,12
589166,23.80920029,77.5,1999-01-13,0.0,102075.0,293.9,12
511367,23.80920029,70.0,1999-01-13,0.0,102075.0,298.4,12
44543,30.0,72.5,1999-01-13,0.0,102015.0,297.14,12
537300,23.80920029,72.5,1999-01-13,0.0,102015.0,296.99,12
563233,23.80920029,75.0,1999-01-13,0.0,102015.0,295.4,12
199961,27.5,77.5,1999-01-13,0.0,101840.0,294.62,12
277670,25.0,75.0,1999-01-13,0.0,101792.0,294.59998,12
225864,25.0,70.0,1999-01-13,0.0,101802.0,299.37,12
381702,27.5,69.375,1999-01-13,0.0,101802.0,296.7,12
174058,27.5,75.0,1999-01-13,0.0,101757.0,294.45,12
251767,25.0,72.5,1999-01-13,0.0,101835.0,297.41998,12
433568,25.0,69.375,1999-01-13,0.0,101835.0,299.59998,12
18640,30.0,70.0,1999-01-13,0.0,102052.0,295.97,12
122252,27.5,70.0,1999-01-13,0.0,102085.0,297.32,12
485434,23.80920029,69.375,1999-01-13,0.0,102085.0,299.4,12
96349,30.0,77.5,1999-01-13,0.0,102052.0,292.59998,12
303573,25.0,77.5,1999-01-13,0.0,101642.0,293.59998,12
329836,30.0,69.375,1999-01-13,0.0,101642.0,294.09998,12
174059,27.5,75.0,1999-01-14,0.0,101837.0,294.4,13
251768,25.0,72.5,1999-01-14,0.0,101902.0,297.4,13
96350,30.0,77.5,1999-01-14,0.0,102140.0,292.57,13
589167,23.80920029,77.5,1999-01-14,0.0,102140.0,293.87,13
18641,30.0,70.0,1999-01-14,0.0,102027.0,295.9,13
615100,23.80920029,78.75,1999-01-14,0.0,102027.0,292.9,13
433569,25.0,69.375,1999-01-14,0.0,102027.0,299.49,13
148156,27.5,72.5,1999-01-14,0.0,101957.0,295.77002,13
329837,30.0,69.375,1999-01-14,0.0,101957.0,293.99,13
485435,23.80920029,69.375,1999-01-14,0.0,101957.0,299.4,13
459502,25.0,78.75,1999-01-14,0.0,101957.0,294.3,13
381703,27.5,69.375,1999-01-14,0.0,101957.0,296.62,13
303574,25.0,77.5,1999-01-14,0.0,101822.0,293.59998,13
355770,30.0,78.75,1999-01-14,0.0,101822.0,284.97,13
511368,23.80920029,70.0,1999-01-14,0.0,101822.0,298.4,13
563234,23.80920029,75.0,1999-01-14,0.0,101822.0,295.4,13
407636,27.5,78.75,1999-01-14,0.0,101822.0,295.2,13
277671,25.0,75.0,1999-01-14,0.0,101945.0,294.59998,13
225865,25.0,70.0,1999-01-14,0.0,101835.0,299.3,13
44544,30.0,72.5,1999-01-14,0.0,102015.0,297.09998,13
122253,27.5,70.0,1999-01-14,0.0,102085.0,297.3,13
537301,23.80920029,72.5,1999-01-14,0.0,102085.0,296.99,13
70447,30.0,75.0,1999-01-14,0.0,102135.0,296.16998,13
199962,27.5,77.5,1999-01-14,0.0,101957.0,294.59998,13
251769,25.0,72.5,1999-01-15,0.0,101912.0,297.32,14
70448,30.0,75.0,1999-01-15,0.0,102052.0,296.09998,14
329838,30.0,69.375,1999-01-15,0.0,102052.0,293.95,14
537302,23.80920029,72.5,1999-01-15,0.0,102052.0,296.97,14
225866,25.0,70.0,1999-01-15,0.0,101835.0,299.27002,14
