,Date,FrontChange,SMB,RU,ME,AT,SST,PT,glacierID,glacierName,latitude,longitude
59,31/12/2019,1283.2117337965506,0.863905811,1.7246589625e-21,0,-13.57669463,-0.6300573,-0.19645584,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
62,31/03/2020,1250.0630154877667,1.2940739067647058,0.00092584,0.9067767805882354,-17.91234876,-0.19268984,0.019133056,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
63,30/04/2020,1201.0874553539893,0.474954963,0.001343295,1.349497298,-13.04661905,0.4158257,0.4419828,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
64,31/05/2020,1209.8951019543579,-1.171544488,2.065598059,3.23359036,-4.461193627,1.2024825,1.16295,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
65,30/06/2020,1135.3933038143296,-21.959578,21.974083,21.762516,2.869879,2.746972,2.4348688,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
66,31/07/2020,1154.4001671882606,-39.27951933,40.48963116666666,36.985838,4.3991018,4.6503143,3.5990763,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
67,31/08/2020,1193.886323,-20.62893274,24.17004223,21.1583379,3.33586939,5.551751,4.70923,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
68,30/09/2020,1263.2281075600822,-6.365519629,12.229745603928572,9.739964568571429,0.48643410214285715,4.340086,4.274744,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
74,31/03/2021,1338.3653239430619,2.144962511,0.066251158,0.201620699,-11.51504458,0.9012175,0.8955345,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
75,30/04/2021,1360.251154891021,1.1609603000000002,0.1043475353888889,0.38647655000000003,-8.460694486,0.26729938,0.2828763,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
76,31/05/2021,1360.425008482427,-0.07933998,0.114261263,0.218843593,-6.12828975,0.4436882,0.47427756,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
77,30/06/2021,1283.8880393746708,-5.863281258,7.49510078,9.902740028,0.32607426,2.0347512,1.8934482,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
78,31/07/2021,1288.2649468268514,-20.50880829,23.012460285714287,22.354258428571427,2.6060040714285715,3.736508,3.082898,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
79,31/08/2021,1313.9620867681083,-16.7544323,19.0529914,15.328213299999998,2.48568719,4.824547,4.1337132,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
80,30/09/2021,1319.4394997619406,-8.759619594,10.769322963076924,8.292261365038462,0.6040054161538462,4.819624,4.574026,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
86,31/03/2022,1328.0001271683077,-0.145622729,1.72467608e-21,0,-17.1998038,0.68935245,0.706666,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
87,30/04/2022,1334.4111093893107,0.37020900106666665,1.7246816266666668e-21,0.008788972,-11.87271916,0.38066432,0.5607683,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
88,31/05/2022,1317.808671979683,-5.244234509,5.57249275,7.033071465000001,-5.22821468,0.901307,0.79234093,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
89,30/06/2022,1320.296308716051,-28.60390567,32.88829833333333,29.51469188888889,2.6046806444444446,3.52612,2.8738978,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
90,31/07/2022,1334.7839524862784,-41.85160238,46.98198613,41.819950874999996,4.01907835,5.4515505,4.399014,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
91,31/08/2022,1394.877685633508,-24.054206,24.80191575,19.49482025,2.639535615,5.9159045,5.060934,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
92,30/09/2022,1376.379440385998,-6.99985475,17.1990198,15.003383466666667,1.139809565,4.700521,4.6172814,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
0,31/01/2015,0,2.48839741,1.7247924800000003e-21,0,-14.00495781,-1.7255657,0.40593877,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
1,28/02/2015,2.682843355,0.8726959833636364,1.7247134545454544e-21,0,-17.18584895,-1.509121,0.4648378,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
2,31/03/2015,-7.622823582,1.822397080318182,1.7247134545454544e-21,0,-13.82468856,-1.4628309,-0.09650232,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
3,30/04/2015,-9.095707752,1.415548268190476,1.724531657142857e-21,0.004158861,-11.90981676,-1.7709222,-0.5586107,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
4,31/05/2015,-43.78495533,-0.036230951,1.7245890857142857e-21,0,-11.18490171,-1.8264375,-0.60550416,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
10,30/11/2015,110.08041381564362,1.7932845507416666,1.7245683166666667e-21,0,-8.448450995,-1.2893792,0.05013111,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
11,31/12/2015,160.4932373,2.805380788318182,1.7246361727272726e-21,0,-10.79601847,-1.6259265,-0.6844518,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
12,31/01/2016,207.28956640708873,2.527475228,1.72453465e-21,0.030075291,-8.165212544,-1.6404996,-0.9141374,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
13,29/02/2016,280.6301510735573,1.925930402,1.7246288720000002e-21,0,-10.34560786,-1.7114295,-1.2973335,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
14,31/03/2016,356.20086000917945,1.6856750803181817,1.7245929090909093e-21,0,-11.00968847,-1.6699837,-1.2527096,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
15,30/04/2016,334.1206864101538,0.6074173939999999,1.72482136e-21,0,-12.5675072,-1.7258633,-1.2546216,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
21,31/10/2016,632.6164267,1.6214852716666668,1.1498435666666668e-21,0.06805172,-2.454663733,0.8374739,1.318953,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
22,30/11/2016,776.4832976784313,1.902303074,0.033008192,0.330478938,-5.180905823,0.37714,1.4857409,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
23,31/12/2016,765.0724923523802,2.6268905273333334,1.7245682833333333e-21,0.005965845,-9.054958463,-0.6187544,0.82331574,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
24,31/01/2017,876.1815368370613,0.601178949,1.72458075e-21,0,-12.6428854,-1.1379942,-0.04961427,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
25,28/02/2017,873.2120633916448,1.081113351,8.781454901500001e-06,0.008746176,-10.46778794,-0.8380038,-0.540078,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
26,31/03/2017,866.4433844961962,0.9251600649565218,2.1479113478260883e-06,0.002114192,-17.84507772,-1.2970226,-0.9197262,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
27,30/04/2017,800.1958763749163,0.015323226,1.7245272e-21,0,-20.6460355,-1.7388698,-1.3182554,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
29,30/06/2017,788.0516134213154,-1.934495419,2.6031453,5.957862305,-0.906386305,-1.810464,-1.5850269,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
30,31/07/2017,806.3080706159504,-15.14848165,14.572014870588236,15.977569223529413,0.8758345529411765,-0.8563081,-1.2096996,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
31,31/08/2017,853.5414920509983,-6.623704,5.0575126,4.4244888,0.901798035,0.8949267,-0.50141203,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
32,30/09/2017,899.7782078479266,-2.206865,1.9591798,4.90189,1.9309537,0.25668132,0.409631,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
33,31/10/2017,957.5605024550019,1.4748362,0.020244867,0.02433424,-3.1394937,0.19785367,1.3422283,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
34,30/11/2017,1037.733341681524,1.6951466516666667,1.7246490444444443e-21,0,-9.3881729,-1.1471629,0.6272822,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
35,31/12/2017,1057.338127291635,2.987552732173913,3.765142695653373e-09,3.826340130434783e-06,-8.202103896,-1.6521896,-0.2988776,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
36,31/01/2018,1092.9175822044754,1.4771573486363636,1.7245929090909093e-21,0,-12.22310496,-1.6951697,-0.6432687,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
37,28/02/2018,1103.1305052624416,1.3896513911111112,1.7246811333333334e-21,0,-12.38448814,-1.6463989,0.49163148,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
38,31/03/2018,1074.306807410228,0.496101733,1.7246138999999998e-21,0,-18.76497053,-1.6723477,-0.17183937,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
39,30/04/2018,1010.6953632045767,0.5631901241578947,1.7245759684210525e-21,0,-15.43693137,-1.8043505,-0.43235728,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
40,31/05/2018,1042.5495054698813,2.35862924,1.7248587e-21,1.07137,-2.0985223,-1.880185,-0.13970949,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
45,31/10/2018,1137.6624236155876,1.2627738,1.5726016416666668e-21,0,-5.280914217,0.90290326,1.4113222,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
46,30/11/2018,1168.685073734482,1.1873207495454545,1.7245720181818184e-21,0.017649366,-7.891471162,0.34000647,0.83858573,RGI60-07.00027,Austfonna basin 3,79.42246053624564,25.451034948167003
